student_profile_id,question_text,pre_or_post,transcription_human,transcription_ai,transcription_human_normalized,transcription_ai_normalized,levenshtein_distance,levenshtein_normalized,char_similarity,word_error_rate,exact_match,score_human_total,ai_score_total,score_diff,score_diff_abs,grader_name
31203,Come on. We can do it together.,pre,Come on We can do it together,Come on we can do do it together,come on we can do it together,come on we can do do it together,3.0,0.09375,0.90625,0.14285714285714285,False,13.0,12,-1.0,1.0,ali
31203,It's locked. I can open it.,pre,It's locked I can open it,It's locked i can open it,its locked i can open it,its locked i can open it,0.0,0.0,1.0,0.0,True,12.0,12,0.0,0.0,rehma
31203,It's locked. I can open it.,post,It's locked I can open it,It's locked i can open it,its locked i can open it,its locked i can open it,0.0,0.0,1.0,0.0,True,11.0,10,-1.0,1.0,ali
31203,This is Zara. She loves to draw. This is Faiz. He loves to build things.,post,This is Zara She loves to draw This is Faiz He loves to building build things,This is zara she loves to draw this is faiz he loves to build things build things,this is zara she loves to draw this is faiz he loves to building build things,this is zara she loves to draw this is faiz he loves to build things build things,4.0,0.04938271604938271,0.9506172839506173,0.125,False,30.0,19,-11.0,11.0,salman
28417,Come on. We can do it together.,pre,Come on We can do it toogether,Come on we can do it together,come on we can do it toogether,come on we can do it together,1.0,0.03333333333333333,0.9666666666666667,0.14285714285714285,False,13.0,12,-1.0,1.0,anum
28417,It's locked. I can open it.,pre,It's locked I can open it,It's locked i can open it,its locked i can open it,its locked i can open it,0.0,0.0,1.0,0.0,True,12.0,11,-1.0,1.0,rehma
28417,This is Zara. She loves to draw. This is Faiz. He loves to build things.,pre,This is Zara She love to draw This is Faiz He loves to build things,This is zara he loves loves to draw this is faiz he loves loves build things things,this is zara she love to draw this is faiz he loves to build things,this is zara he loves loves to draw this is faiz he loves loves build things things,19.0,0.2289156626506024,0.7710843373493976,0.3333333333333333,False,29.0,13,-16.0,16.0,salman
28417,Come on. We can do it together.,post,Come on We can do it it the gather,Come on we can do it it together,come on we can do it it the gather,come on we can do it it together,4.0,0.11764705882352941,0.8823529411764706,0.2222222222222222,False,12.0,12,0.0,0.0,ali
28417,It's locked. I can open it.,post,This locked I can open it,It's locked i can open it,this locked i can open it,its locked i can open it,3.0,0.12,0.88,0.16666666666666666,False,10.0,9,-1.0,1.0,ali
28417,It's locked. I can open it.,post,Thees lockdd I can open eet,It's locked i can open it,thees lockdd i can open eet,its locked i can open it,7.0,0.25925925925925924,0.7407407407407407,0.5,False,8.0,9,1.0,1.0,anum
28376,Come on. We can do it together.,pre,Come on to gate together,Come on together it together,come on to gate together,come on together it together,7.0,0.25,0.75,0.4,False,6.0,4,-2.0,2.0,semal
