audio_file_name,reference,current_transcription,priority,n_substitutions,n_deletions,n_insertions,substitution_details
grade1_profile30941_q2_QK_20251122_100724.mp3,It's locked. I can open it.,Ittt lock. Can pa apaen eet it,NEEDS RE-LISTEN,5,0,1,it's→lock (MISHEARING) | locked→can (MISHEARING) | i→pa (MISHEARING) | can→apaen (REVIEW) | open→eet (MISHEARING)
grade1_profile30506_q3_QK_20251122_101834.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara. I. Is it draw. This is like draw.,NEEDS RE-LISTEN,5,4,0,she→i (MISHEARING) | loves→is (MISHEARING) | to→it (REVIEW) | faiz→like (MISHEARING) | he→draw (MISHEARING)
grade1_profile28421_q2_LP_20251122_100201.mp3,It's locked. I can open it.,It's loocked. Eye can awpen ee,NEEDS RE-LISTEN,4,0,0,locked→loocked (PHONETIC) | i→eye (MISHEARING) | open→awpen (PHONETIC) | it→ee (MISHEARING)
grade1_profile28359_q3_QK_20251122_101834.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This iiss. This is Zaraa. She loves to draw.,NEEDS RE-LISTEN,4,6,0,is→iiss (PHONETIC) | faiz→zaraa (MISHEARING) | he→she (PHONETIC) | build→draw (MISHEARING)
grade1_profile30589_q2_LP_20251122_100201.mp3,It's locked. I can open it.,It's locked. Eyeee cann open eet.,NEEDS RE-LISTEN,3,0,0,i→eyeee (MISHEARING) | can→cann (PHONETIC) | it→eet (REVIEW)
grade1_profile30630_q2_QK_20251122_100724.mp3,It's locked. I can open it.,It's lock. Eye can awpen it.,NEEDS RE-LISTEN,3,0,0,locked→lock (PHONETIC) | i→eye (MISHEARING) | open→awpen (PHONETIC)
grade1_profile28355_q3_LP_20251122_101304.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara. She lauve to darw. This is Faiz. He loves boold things.,NEEDS RE-LISTEN,3,1,0,loves→lauve (PHONETIC) | draw→darw (PHONETIC) | to→boold (MISHEARING)
grade1_profile28385_q1_LP_20251122_095026.mp3,Come on. We can do it  together.,Yes I do,NEEDS RE-LISTEN,2,4,0,come→yes (MISHEARING) | on→i (MISHEARING)
grade1_profile31284_q1_QK_20251122_095622.mp3,Come on. We can do it  together.,Onnnn. We caan do it together.,NEEDS RE-LISTEN,2,1,0,come→onnnn (MISHEARING) | can→caan (PHONETIC)
grade1_profile31204_q2_LP_20251122_100201.mp3,It's locked. I can open it.,It's locked. Eye caan open it.,NEEDS RE-LISTEN,2,0,0,i→eye (MISHEARING) | can→caan (PHONETIC)
