audio_file_name,reference,current_transcription,priority,n_substitutions,n_deletions,n_insertions,substitution_details
grade1_profile31192_q3_LP_20251122_101304.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,It is Zara he love to draw it is faiz he love to paint shings,NEEDS RE-LISTEN,7,0,0,this→it (MISHEARING) | she→he (PHONETIC) | loves→love (PHONETIC) | this→it (MISHEARING) | loves→love (PHONETIC) | build→paint (MISHEARING) | things→shings (PHONETIC)
grade1_profile28395_q3_QK_20251122_101834.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,These is Zara see loves to draa this is wais ee loves to build it,NEEDS RE-LISTEN,6,0,0,this→these (PHONETIC) | she→see (PHONETIC) | draw→draa (PHONETIC) | faiz→wais (REVIEW) | he→ee (REVIEW) | things→it (MISHEARING)
grade1_profile28363_q3_LP_20251122_101304.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,These is Sara. She loves to draw. These is Faiz. She loves to draw. Be he.,NEEDS RE-LISTEN,6,0,1,this→these (PHONETIC) | zara→sara (PHONETIC) | this→these (PHONETIC) | he→she (PHONETIC) | build→be (MISHEARING) | things→he (MISHEARING)
grade1_profile28371_q2_QK_20251122_100724.mp3,It's locked. I can open it.,Its loo kid eye can topen i eat,NEEDS RE-LISTEN,5,0,2,it's→loo (MISHEARING) | locked→kid (REVIEW) | i→eye (MISHEARING) | open→i (MISHEARING) | it→eat (REVIEW)
grade1_profile28441_q3_LP_20251122_101304.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,These ease Zara. She she loves to draw. These ease Faiz. He loves to build thumbs things.,NEEDS RE-LISTEN,4,0,2,this→these (PHONETIC) | is→ease (MISHEARING) | this→these (PHONETIC) | is→ease (MISHEARING)
grade1_profile28470_q3_QK_20251122_101834.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara. Loves she love to drawing. This is Faiz. He love two buldings build things.,NEEDS RE-LISTEN,4,0,2,loves→love (PHONETIC) | draw→drawing (PHONETIC) | loves→two (MISHEARING) | to→buldings (MISHEARING)
grade1_profile28519_q2_LP_20251122_100201.mp3,It's locked. I can open it.,Its lock duh we khan open it,NEEDS RE-LISTEN,4,0,1,it's→lock (MISHEARING) | locked→duh (MISHEARING) | i→we (MISHEARING) | can→khan (REVIEW)
grade1_profile28392_q2_LP_20251122_100201.mp3,It's locked. I can open it.,Come on you can do it together,NEEDS RE-LISTEN,4,0,1,it's→come (MISHEARING) | locked→on (MISHEARING) | i→you (MISHEARING) | open→do (MISHEARING)
grade1_profile28431_q3_LP_20251122_101304.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara she loves two begin them love to,NEEDS RE-LISTEN,4,5,0,to→two (PHONETIC) | draw→begin (MISHEARING) | this→them (REVIEW) | is→love (MISHEARING)
grade1_profile28388_q1_QK_20251122_095622.mp3,Come on. We can do it  together.,Come on. We canned to eat two gether.,NEEDS RE-LISTEN,4,0,1,can→to (MISHEARING) | do→eat (MISHEARING) | it→two (REVIEW) | together→gether (PHONETIC)
grade1_profile28355_q2_QK_20251122_100724.mp3,It's locked. I can open it.,Its lock. Eye can open it.,NEEDS RE-LISTEN,3,0,0,it's→its (PHONETIC) | locked→lock (PHONETIC) | i→eye (MISHEARING)
grade1_profile28369_q2_LP_20251122_100201.mp3,It's locked. I can open it.,It is uh.,NEEDS RE-LISTEN,3,3,0,it's→it (PHONETIC) | locked→is (MISHEARING) | i→uh (MISHEARING)
grade1_profile30472_q2_LP_20251122_100201.mp3,It's locked. I can open it.,Its its looked i can pick it,NEEDS RE-LISTEN,3,0,1,it's→its (PHONETIC) | locked→looked (PHONETIC) | open→pick (MISHEARING)
grade1_profile28417_q3_LP_20251122_101304.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara. She love to draw. This is Faiz. He love to built things things.,NEEDS RE-LISTEN,3,0,1,loves→love (PHONETIC) | loves→love (PHONETIC) | build→things (MISHEARING)
grade1_profile28345_q2_LP_20251122_100201.mp3,It's locked. I can open it.,Lock. Eye can open i-.,NEEDS RE-LISTEN,3,1,0,it's→lock (MISHEARING) | locked→eye (MISHEARING) | it→i (PHONETIC)
grade1_profile28431_q1_LP_20251122_095026.mp3,Come on. We can do it  together.,Come on we can two eat the together,NEEDS RE-LISTEN,2,0,1,do→eat (MISHEARING) | it→the (REVIEW)
grade1_profile28468_q1_LP_20251122_095026.mp3,Come on. We can do it  together.,Come on we can't gather,NEEDS RE-LISTEN,2,2,0,can→can't (PHONETIC) | do→gather (MISHEARING)
grade1_profile30485_q1_LP_20251122_095026.mp3,Come on. We can do it  together.,Come on we cant to eat do gather,NEEDS RE-LISTEN,2,1,2,can→eat (MISHEARING) | it→gather (MISHEARING)
grade1_profile30569_q2_QK_20251122_100724.mp3,It's locked. I can open it.,Its logit i can open,NEEDS RE-LISTEN,2,1,0,it's→its (PHONETIC) | locked→logit (MISHEARING)
grade1_profile31204_q3_LP_20251122_101304.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This ease Zara she loves to draw this is Faiz he loves to build build dings,NEEDS RE-LISTEN,2,0,1,is→ease (MISHEARING) | things→dings (PHONETIC)
grade1_profile30665_q2_LP_20251122_100201.mp3,It's locked. I can open it.,It looks look. I can open it I can open it.,NEEDS RE-LISTEN,2,0,5,it's→open (MISHEARING) | locked→it (MISHEARING)
grade1_profile28355_q2_LP_20251122_100201.mp3,It's locked. I can open it.,It's lock. Eye can open it.,NEEDS RE-LISTEN,2,0,0,locked→lock (PHONETIC) | i→eye (MISHEARING)
grade1_profile28485_q2_LP_20251122_100201.mp3,It's locked. I can open it.,It is.,NEEDS RE-LISTEN,2,4,0,it's→it (PHONETIC) | locked→is (MISHEARING)
grade1_profile28518_q2_QK_20251122_100724.mp3,It's locked. I can open it.,Is locked. Eye can open it.,NEEDS RE-LISTEN,2,0,0,it's→is (PHONETIC) | i→eye (MISHEARING)
grade1_profile31204_q2_LP_20251122_100201.mp3,It's locked. I can open it.,It's locked. Eye can open it,NEEDS RE-LISTEN,1,0,0,i→eye (MISHEARING)
grade1_profile28392_q1_LP_20251122_095026.mp3,Come on. We can do it  together.,Come on you can do it,NEEDS RE-LISTEN,1,1,0,we→you (MISHEARING)
grade1_profile28510_q2_LP_20251122_100201.mp3,It's locked. I can open it.,It lock haena locked i can open it,NEEDS RE-LISTEN,1,0,2,it's→haena (MISHEARING)
grade1_profile28385_q2_LP_20251122_100201.mp3,It's locked. I can open it.,Yes,NEEDS RE-LISTEN,1,5,0,it's→yes (MISHEARING)
grade1_profile28345_q3_QK_20251122_101834.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara she loves to draw this is Faiz he loves to paint things,NEEDS RE-LISTEN,1,0,0,build→paint (MISHEARING)
grade1_profile31293_q1_LP_20251122_095026.mp3,Come on. We can do it  together.,Cup on. We can do it together.,NEEDS RE-LISTEN,1,0,0,come→cup (MISHEARING)
grade1_profile28402_q3_LP_20251122_101304.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara. She love to drawin. This is Faizan. He love to building things.,PHONETIC FIX,5,0,0,loves→love (PHONETIC) | draw→drawin (PHONETIC) | faiz→faizan (PHONETIC) | loves→love (PHONETIC) | build→building (PHONETIC)
grade1_profile30482_q3_LP_20251122_101304.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,These is Faiz. He love to built thing.,PHONETIC FIX,4,7,0,this→these (PHONETIC) | loves→love (PHONETIC) | build→built (PHONETIC) | things→thing (PHONETIC)
grade1_profile31192_q3_QK_20251122_101834.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara. She love to draw. This is Fair. He love to buildings.,PHONETIC FIX,4,1,0,loves→love (PHONETIC) | faiz→fair (PHONETIC) | loves→love (PHONETIC) | build→buildings (PHONETIC)
grade1_profile28355_q3_QK_20251122_101834.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,These is Zara she loved to draa this is Faiz he loves to building things,PHONETIC FIX,4,0,0,this→these (PHONETIC) | loves→loved (PHONETIC) | draw→draa (PHONETIC) | build→building (PHONETIC)
grade1_profile28375_q3_LP_20251122_101304.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara he love to draa this is faiz he loves to build thin,PHONETIC FIX,4,0,0,she→he (PHONETIC) | loves→love (PHONETIC) | draw→draa (PHONETIC) | things→thin (PHONETIC)
grade1_profile28516_q3_QK_20251122_101834.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara she love to draw this is faiz he love to bewld thing,PHONETIC FIX,4,0,0,loves→love (PHONETIC) | loves→love (PHONETIC) | build→bewld (PHONETIC) | things→thing (PHONETIC)
grade1_profile30544_q3_QK_20251122_101834.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara. She love to draw. This is Faiz. He love to build thing.,PHONETIC FIX,3,0,0,loves→love (PHONETIC) | loves→love (PHONETIC) | things→thing (PHONETIC)
grade1_profile30506_q3_LP_20251122_101304.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara. He love to draw. Is is this is Faiz. Is he love to mil build things.,PHONETIC FIX,3,0,4,she→he (PHONETIC) | loves→love (PHONETIC) | loves→love (PHONETIC)
grade1_profile28382_q2_LP_20251122_100201.mp3,It's locked. I can open it.,Is flock i can openly,PHONETIC FIX,3,1,0,it's→is (PHONETIC) | locked→flock (PHONETIC) | open→openly (PHONETIC)
grade1_profile30496_q2_QK_20251122_100724.mp3,It's locked. I can open it.,Its logged i can awpen it,PHONETIC FIX,3,0,0,it's→its (PHONETIC) | locked→logged (PHONETIC) | open→awpen (PHONETIC)
grade1_profile28421_q3_LP_20251122_101304.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara she loves to draa this is Faiz he love to build thing,PHONETIC FIX,3,0,0,draw→draa (PHONETIC) | loves→love (PHONETIC) | things→thing (PHONETIC)
grade1_profile28473_q3_QK_20251122_101834.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,is Zara she love draw this is faiz he love to build thing,PHONETIC FIX,3,2,0,loves→love (PHONETIC) | loves→love (PHONETIC) | things→thing (PHONETIC)
grade1_profile30490_q3_QK_20251122_101834.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara she loves to draa this is faiz he loves to builds thing,PHONETIC FIX,3,0,0,draw→draa (PHONETIC) | build→builds (PHONETIC) | things→thing (PHONETIC)
grade1_profile28375_q3_QK_20251122_101834.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara she live to draa this is Faiz he love to build things,PHONETIC FIX,3,0,0,loves→live (PHONETIC) | draw→draa (PHONETIC) | loves→love (PHONETIC)
grade1_profile28382_q3_QK_20251122_101834.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara. She love to draw. This is Faiz. He loves two buildings.,PHONETIC FIX,3,1,0,loves→love (PHONETIC) | to→two (PHONETIC) | build→buildings (PHONETIC)
grade1_profile30840_q3_QK_20251122_101834.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara. She love to draw. This is Faiz. She love to build things build things.,PHONETIC FIX,3,0,2,loves→love (PHONETIC) | he→she (PHONETIC) | loves→love (PHONETIC)
grade1_profile28388_q2_QK_20251122_100724.mp3,It's locked. I can open it.,It's lock. I cant open it,PHONETIC FIX,2,0,0,locked→lock (PHONETIC) | can→cant (PHONETIC)
grade1_profile31192_q2_QK_20251122_100724.mp3,It's locked. I can open it.,Its lock. I can open it.,PHONETIC FIX,2,0,0,it's→its (PHONETIC) | locked→lock (PHONETIC)
grade1_profile28518_q3_QK_20251122_101834.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara. She love to draw. This is Faiz. He love to build things.,PHONETIC FIX,2,0,0,loves→love (PHONETIC) | loves→love (PHONETIC)
grade1_profile28401_q1_QK_20251122_095622.mp3,Come on. We can do it  together.,Come own. We can do it to gather.,PHONETIC FIX,2,0,1,on→own (PHONETIC) | together→gather (PHONETIC)
grade1_profile30684_q1_QK_20251122_095622.mp3,Come on. We can do it  together.,Come oven. We can do it too gether.,PHONETIC FIX,2,0,1,on→oven (PHONETIC) | together→gether (PHONETIC)
grade1_profile30490_q3_LP_20251122_101304.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara. She love to draw. This is Faiza Faiz. He love to build things.,PHONETIC FIX,2,0,1,loves→love (PHONETIC) | loves→love (PHONETIC)
grade1_profile28441_q3_QK_20251122_101834.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara. She loves to draw. This is Faiz. He love to build thing.,PHONETIC FIX,2,0,0,loves→love (PHONETIC) | things→thing (PHONETIC)
grade1_profile30569_q2_LP_20251122_100201.mp3,It's locked. I can open it.,Its lock. I can open it.,PHONETIC FIX,2,0,0,it's→its (PHONETIC) | locked→lock (PHONETIC)
grade1_profile28390_q3_LP_20251122_101304.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara. She loves to draw. This is Faiz. He love to buld buld things.,PHONETIC FIX,2,0,1,loves→love (PHONETIC) | build→buld (PHONETIC)
grade1_profile28510_q3_LP_20251122_101304.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara. She love to draw. This is Faiz. He loved to build things.,PHONETIC FIX,2,0,0,loves→love (PHONETIC) | loves→loved (PHONETIC)
grade1_profile28463_q3_QK_20251122_101834.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara. She love to draw. Is this is Faiz. He love to building build thing build things.,PHONETIC FIX,2,0,4,loves→love (PHONETIC) | loves→love (PHONETIC)
grade1_profile28473_q2_LP_20251122_100201.mp3,It's locked. I can open it.,It Its lock. I can open open it.,PHONETIC FIX,2,0,2,it's→its (PHONETIC) | locked→lock (PHONETIC)
grade1_profile28512_q2_QK_20251122_100724.mp3,It's locked. I can open it.,Its lockid. I can open it.,PHONETIC FIX,2,0,0,it's→its (PHONETIC) | locked→lockid (PHONETIC)
grade1_profile28451_q3_QK_20251122_101834.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara. She love to draw things. This is Faiz. He love to build things.,PHONETIC FIX,2,0,1,loves→love (PHONETIC) | loves→love (PHONETIC)
grade1_profile31361_q3_LP_20251122_101304.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara. She love to draw. This is Faiz. He love to build things.,PHONETIC FIX,2,0,0,loves→love (PHONETIC) | loves→love (PHONETIC)
grade1_profile30575_q1_QK_20251122_095622.mp3,Come on. We can do it  together.,Come own we can do it to gather,PHONETIC FIX,2,0,1,on→own (PHONETIC) | together→gather (PHONETIC)
grade1_profile30476_q1_LP_20251122_095026.mp3,Come on. We can do it  together.,Come own we can do it to gather,PHONETIC FIX,2,0,1,on→own (PHONETIC) | together→gather (PHONETIC)
grade1_profile28390_q2_LP_20251122_100201.mp3,It's locked. I can open it.,Its locked i can awpen it,PHONETIC FIX,2,0,0,it's→its (PHONETIC) | open→awpen (PHONETIC)
grade1_profile28428_q2_QK_20251122_100724.mp3,It's locked. I can open it.,Its locked i can awpen it,PHONETIC FIX,2,0,0,it's→its (PHONETIC) | open→awpen (PHONETIC)
